pilot_symbols,context_length,detector,bit_errors,bits,symbol_errors,symbols,ber,ser
1,1,defined,28,160,27,80,0.175,0.3375
1,1,icl,1011,4800,985,2400,0.210625,0.41041666666666665
1,1,mmse,479,4800,474,2400,0.09979166666666667,0.1975
1,1,mmse_df,17,160,16,80,0.10625,0.2
1,2,defined,21,160,21,80,0.13125,0.2625
1,2,mmse_df,17,160,17,80,0.10625,0.2125
1,3,defined,20,160,20,80,0.125,0.25
1,3,mmse_df,16,160,16,80,0.1,0.2
1,4,defined,22,160,20,80,0.1375,0.25
1,4,mmse_df,19,160,17,80,0.11875,0.2125
1,5,defined,21,160,21,80,0.13125,0.2625
1,5,mmse_df,11,160,11,80,0.06875,0.1375
1,6,defined,22,160,22,80,0.1375,0.275
1,6,mmse_df,19,160,19,80,0.11875,0.2375
1,7,defined,16,160,16,80,0.1,0.2
1,7,mmse_df,12,160,12,80,0.075,0.15
1,8,defined,17,160,17,80,0.10625,0.2125
1,8,mmse_df,12,160,12,80,0.075,0.15
1,9,defined,24,160,24,80,0.15,0.3
1,9,mmse_df,18,160,18,80,0.1125,0.225
1,10,defined,26,160,24,80,0.1625,0.3
1,10,mmse_df,22,160,21,80,0.1375,0.2625
1,11,defined,23,160,23,80,0.14375,0.2875
1,11,mmse_df,14,160,14,80,0.0875,0.175
1,12,defined,23,160,22,80,0.14375,0.275
1,12,mmse_df,23,160,22,80,0.14375,0.275
1,13,defined,26,160,26,80,0.1625,0.325
1,13,mmse_df,17,160,17,80,0.10625,0.2125
1,14,defined,21,160,20,80,0.13125,0.25
1,14,mmse_df,15,160,14,80,0.09375,0.175
1,15,defined,22,160,22,80,0.1375,0.275
1,15,mmse_df,13,160,13,80,0.08125,0.1625
1,16,defined,17,160,17,80,0.10625,0.2125
1,16,mmse_df,11,160,11,80,0.06875,0.1375
1,17,defined,32,160,29,80,0.2,0.3625
1,17,mmse_df,26,160,25,80,0.1625,0.3125
1,18,defined,17,160,17,80,0.10625,0.2125
1,18,mmse_df,11,160,11,80,0.06875,0.1375
1,19,defined,19,160,19,80,0.11875,0.2375
1,19,mmse_df,12,160,12,80,0.075,0.15
1,20,defined,19,160,19,80,0.11875,0.2375
1,20,mmse_df,17,160,17,80,0.10625,0.2125
1,21,defined,24,160,24,80,0.15,0.3
1,21,mmse_df,19,160,19,80,0.11875,0.2375
1,22,defined,23,160,23,80,0.14375,0.2875
1,22,mmse_df,16,160,16,80,0.1,0.2
1,23,defined,22,160,22,80,0.1375,0.275
1,23,mmse_df,14,160,14,80,0.0875,0.175
1,24,defined,25,160,24,80,0.15625,0.3
1,24,mmse_df,18,160,18,80,0.1125,0.225
1,25,defined,18,160,18,80,0.1125,0.225
1,25,mmse_df,10,160,10,80,0.0625,0.125
1,26,defined,26,160,25,80,0.1625,0.3125
1,26,mmse_df,19,160,18,80,0.11875,0.225
1,27,defined,23,160,23,80,0.14375,0.2875
1,27,mmse_df,15,160,15,80,0.09375,0.1875
1,28,defined,21,160,20,80,0.13125,0.25
1,28,mmse_df,18,160,17,80,0.1125,0.2125
1,29,defined,21,160,21,80,0.13125,0.2625
1,29,mmse_df,12,160,12,80,0.075,0.15
1,30,defined,23,160,23,80,0.14375,0.2875
1,30,mmse_df,14,160,14,80,0.0875,0.175
2,2,defined,13,160,13,80,0.08125,0.1625
2,2,icl,389,4640,384,2320,0.08383620689655172,0.16551724137931034
