pilot_symbols,detector,target_snr_db,bit_errors,bits,symbol_errors,symbols,ber,ser
1,defined,5.0,662,4800,649,2400,0.13791666666666666,0.2704166666666667
1,icl,5.0,1011,4800,985,2400,0.210625,0.41041666666666665
1,mmse,5.0,479,4800,474,2400,0.09979166666666667,0.1975
1,mmse_df,5.0,477,4800,468,2400,0.099375,0.195
2,defined,5.0,318,4640,313,2320,0.06853448275862069,0.13491379310344828
2,icl,5.0,389,4640,384,2320,0.08383620689655172,0.16551724137931034
2,mmse,5.0,343,4640,339,2320,0.07392241379310345,0.14612068965517241
2,mmse_df,5.0,325,4640,320,2320,0.07004310344827586,0.13793103448275862
3,defined,5.0,218,4480,215,2240,0.048660714285714286,0.09598214285714286
3,icl,5.0,240,4480,237,2240,0.05357142857142857,0.10580357142857143
3,mmse,5.0,243,4480,239,2240,0.05424107142857143,0.10669642857142857
3,mmse_df,5.0,236,4480,231,2240,0.05267857142857143,0.103125
4,defined,5.0,234,4320,230,2160,0.05416666666666667,0.10648148148148148
4,icl,5.0,273,4320,266,2160,0.06319444444444444,0.12314814814814815
4,mmse,5.0,256,4320,249,2160,0.05925925925925926,0.11527777777777778
4,mmse_df,5.0,259,4320,255,2160,0.059953703703703703,0.11805555555555555
6,defined,5.0,230,4000,227,2000,0.0575,0.1135
6,icl,5.0,217,4000,216,2000,0.05425,0.108
6,mmse,5.0,216,4000,215,2000,0.054,0.1075
6,mmse_df,5.0,192,4000,192,2000,0.048,0.096
8,defined,5.0,173,3680,171,1840,0.04701086956521739,0.09293478260869566
8,icl,5.0,182,3680,180,1840,0.049456521739130434,0.09782608695652174
8,mmse,5.0,184,3680,182,1840,0.05,0.09891304347826087
8,mmse_df,5.0,169,3680,167,1840,0.04592391304347826,0.0907608695652174
