capture_dir,pilot_symbols,lock_score,clean_validation_ber,clean_validation_mean_snr_db,mmse_ber,mmse_ser,mmse_df_ber,mmse_df_ser,icl_ber,icl_ser,defined_ber,defined_ser
captures/defined_pilot_sweep_20260417_152018_qpsk_paper_k04,4,0.9967462420463562,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
captures/defined_pilot_sweep_20260417_152018_qpsk_paper_k08,8,0.9982597231864929,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
captures/defined_pilot_sweep_20260417_160902_qpsk_paper_k03_r02,3,0.997596025466919,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
captures/defined_pilot_sweep_20260417_170605_qpsk_paper_k03_r02,3,0.9992420673370361,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
captures/defined_pilot_sweep_20260417_170605_qpsk_paper_k04_r02,4,0.9976217746734619,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
captures/defined_pilot_sweep_20260417_170605_qpsk_paper_k06_r01,6,0.9977428317070007,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
captures/defined_pilot_sweep_20260417_170605_qpsk_paper_k06_r03,6,0.9987426400184631,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
captures/defined_pilot_sweep_20260417_170605_qpsk_paper_k06_r05,6,0.97782963514328,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
captures/defined_pilot_sweep_20260417_170605_qpsk_paper_k08_r01,8,0.997959554195404,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
captures/defined_pilot_sweep_20260417_171848_qpsk_paper_k01_r01,1,0.994177520275116,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
captures/defined_pilot_sweep_20260417_171848_qpsk_paper_k01_r02,1,0.9943510293960571,0.0,,0.0,0.0,0.0,0.0,0.11666666666666667,0.23333333333333334,0.0,0.0
captures/defined_pilot_sweep_20260417_171848_qpsk_paper_k01_r03,1,0.9947712421417236,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
captures/defined_pilot_sweep_20260417_172919_qpsk_paper_k02_r03,2,0.9966460466384888,0.0,27.171772186098732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
captures/defined_pilot_sweep_20260417_172919_qpsk_paper_k02_r04,2,0.9984334707260132,0.0,39.07896936224386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
captures/defined_pilot_sweep_20260417_172919_qpsk_paper_k03_r03,3,0.9962087869644165,0.0,23.759633240390077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
captures/defined_pilot_sweep_20260417_172919_qpsk_paper_k06_r03,6,0.99565589427948,0.0,22.18852551409771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
captures/defined_pilot_sweep_20260417_174239_qpsk_paper_k01_r01,1,0.9982544779777527,0.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
captures/defined_pilot_sweep_20260417_174239_qpsk_paper_k02_r01,2,0.9974583387374878,0.0,28.014596618424342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
captures/defined_pilot_sweep_20260417_174239_qpsk_paper_k02_r02,2,0.9981152415275574,0.0,30.663874022982164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
captures/defined_pilot_sweep_20260417_174239_qpsk_paper_k03_r01,3,0.9978721141815186,0.0,33.44831022554632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
captures/defined_pilot_sweep_20260417_174239_qpsk_paper_k04_r01,4,0.9964675307273865,0.0,33.02048013060641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
captures/defined_pilot_sweep_20260417_174239_qpsk_paper_k04_r02,4,0.9963135123252869,0.0,27.53547397356028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
captures/defined_pilot_sweep_20260417_174239_qpsk_paper_k08_r01,8,0.9846433997154236,0.0,16.7135485920874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
captures/defined_pilot_sweep_20260417_174239_qpsk_paper_k08_r02,8,0.9846430420875549,0.0,19.390181385824036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
