capture_dir,repetition,pilot_symbols,target_snr_db,detector,ber,bit_errors,bits,ser,symbol_errors,symbols
captures/defined_pilot_sweep_20260417_152018_qpsk_paper_k04,0,4,5.0,mmse,0.1111111111111111,6,54,0.18518518518518517,5,27
captures/defined_pilot_sweep_20260417_152018_qpsk_paper_k04,0,4,5.0,mmse_df,0.07407407407407407,4,54,0.14814814814814814,4,27
captures/defined_pilot_sweep_20260417_152018_qpsk_paper_k04,0,4,5.0,icl,0.07407407407407407,4,54,0.1111111111111111,3,27
captures/defined_pilot_sweep_20260417_152018_qpsk_paper_k04,0,4,5.0,defined,0.07407407407407407,4,54,0.14814814814814814,4,27
captures/defined_pilot_sweep_20260417_152018_qpsk_paper_k04,1,4,5.0,mmse,0.12962962962962962,7,54,0.25925925925925924,7,27
captures/defined_pilot_sweep_20260417_152018_qpsk_paper_k04,1,4,5.0,mmse_df,0.16666666666666666,9,54,0.3333333333333333,9,27
captures/defined_pilot_sweep_20260417_152018_qpsk_paper_k04,1,4,5.0,icl,0.12962962962962962,7,54,0.25925925925925924,7,27
captures/defined_pilot_sweep_20260417_152018_qpsk_paper_k04,1,4,5.0,defined,0.1111111111111111,6,54,0.2222222222222222,6,27
captures/defined_pilot_sweep_20260417_152018_qpsk_paper_k04,2,4,5.0,mmse,0.07407407407407407,4,54,0.14814814814814814,4,27
captures/defined_pilot_sweep_20260417_152018_qpsk_paper_k04,2,4,5.0,mmse_df,0.14814814814814814,8,54,0.2962962962962963,8,27
captures/defined_pilot_sweep_20260417_152018_qpsk_paper_k04,2,4,5.0,icl,0.07407407407407407,4,54,0.14814814814814814,4,27
captures/defined_pilot_sweep_20260417_152018_qpsk_paper_k04,2,4,5.0,defined,0.09259259259259259,5,54,0.18518518518518517,5,27
captures/defined_pilot_sweep_20260417_152018_qpsk_paper_k04,3,4,5.0,mmse,0.05555555555555555,3,54,0.1111111111111111,3,27
captures/defined_pilot_sweep_20260417_152018_qpsk_paper_k04,3,4,5.0,mmse_df,0.07407407407407407,4,54,0.14814814814814814,4,27
captures/defined_pilot_sweep_20260417_152018_qpsk_paper_k04,3,4,5.0,icl,0.07407407407407407,4,54,0.14814814814814814,4,27
captures/defined_pilot_sweep_20260417_152018_qpsk_paper_k04,3,4,5.0,defined,0.07407407407407407,4,54,0.14814814814814814,4,27
captures/defined_pilot_sweep_20260417_152018_qpsk_paper_k04,4,4,5.0,mmse,0.018518518518518517,1,54,0.037037037037037035,1,27
captures/defined_pilot_sweep_20260417_152018_qpsk_paper_k04,4,4,5.0,mmse_df,0.037037037037037035,2,54,0.07407407407407407,2,27
captures/defined_pilot_sweep_20260417_152018_qpsk_paper_k04,4,4,5.0,icl,0.018518518518518517,1,54,0.037037037037037035,1,27
captures/defined_pilot_sweep_20260417_152018_qpsk_paper_k04,4,4,5.0,defined,0.018518518518518517,1,54,0.037037037037037035,1,27
captures/defined_pilot_sweep_20260417_152018_qpsk_paper_k04,5,4,5.0,mmse,0.037037037037037035,2,54,0.07407407407407407,2,27
captures/defined_pilot_sweep_20260417_152018_qpsk_paper_k04,5,4,5.0,mmse_df,0.037037037037037035,2,54,0.07407407407407407,2,27
captures/defined_pilot_sweep_20260417_152018_qpsk_paper_k04,5,4,5.0,icl,0.037037037037037035,2,54,0.07407407407407407,2,27
captures/defined_pilot_sweep_20260417_152018_qpsk_paper_k04,5,4,5.0,defined,0.037037037037037035,2,54,0.07407407407407407,2,27
captures/defined_pilot_sweep_20260417_152018_qpsk_paper_k04,6,4,5.0,mmse,0.037037037037037035,2,54,0.07407407407407407,2,27
captures/defined_pilot_sweep_20260417_152018_qpsk_paper_k04,6,4,5.0,mmse_df,0.037037037037037035,2,54,0.07407407407407407,2,27
captures/defined_pilot_sweep_20260417_152018_qpsk_paper_k04,6,4,5.0,icl,0.037037037037037035,2,54,0.07407407407407407,2,27
captures/defined_pilot_sweep_20260417_152018_qpsk_paper_k04,6,4,5.0,defined,0.037037037037037035,2,54,0.07407407407407407,2,27
captures/defined_pilot_sweep_20260417_152018_qpsk_paper_k04,7,4,5.0,mmse,0.018518518518518517,1,54,0.037037037037037035,1,27
captures/defined_pilot_sweep_20260417_152018_qpsk_paper_k04,7,4,5.0,mmse_df,0.018518518518518517,1,54,0.037037037037037035,1,27
captures/defined_pilot_sweep_20260417_152018_qpsk_paper_k04,7,4,5.0,icl,0.018518518518518517,1,54,0.037037037037037035,1,27
captures/defined_pilot_sweep_20260417_152018_qpsk_paper_k04,7,4,5.0,defined,0.018518518518518517,1,54,0.037037037037037035,1,27
captures/defined_pilot_sweep_20260417_152018_qpsk_paper_k04,8,4,5.0,mmse,0.1111111111111111,6,54,0.2222222222222222,6,27
captures/defined_pilot_sweep_20260417_152018_qpsk_paper_k04,8,4,5.0,mmse_df,0.09259259259259259,5,54,0.18518518518518517,5,27
captures/defined_pilot_sweep_20260417_152018_qpsk_paper_k04,8,4,5.0,icl,0.1111111111111111,6,54,0.2222222222222222,6,27
captures/defined_pilot_sweep_20260417_152018_qpsk_paper_k04,8,4,5.0,defined,0.09259259259259259,5,54,0.18518518518518517,5,27
captures/defined_pilot_sweep_20260417_152018_qpsk_paper_k04,9,4,5.0,mmse,0.037037037037037035,2,54,0.07407407407407407,2,27
